route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A,B_SEPT21-TB06-Samedi-03,15541082,Menez Paul,,1,,A_1_A0056_10D82B857BFA8534EFB5EEB01957C602_PTGOU_TR_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541083,Menez Paul,,1,,A_1_A0056_10D82B857BFA8534EFB5EEB01957C602_PTGOU_TR_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541084,Menez Paul,,1,,A_1_A0056_10D82B857BFA8534EFB5EEB01957C602_PTGOU_TR_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541085,Menez Paul,,1,,A_1_A0056_10D82B857BFA8534EFB5EEB01957C602_PTGOU_TR_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541086,Menez Paul,,1,,A_1_A0056_10D82B857BFA8534EFB5EEB01957C602_PTGOU_TR_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541087,Menez Paul,,1,,A_1_A0056_10D82B857BFA8534EFB5EEB01957C602_PTGOU_TR_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541091,Menez Paul,,1,,A_1_A0056_10D82B857BFA8534EFB5EEB01957C602_PTGOU_TR_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541092,Menez Paul,,1,,A_1_A0056_10D82B857BFA8534EFB5EEB01957C602_PTGOU_TR_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15545970,Menez Paul,,1,,A_1_A0056_10D82B857BFA8534EFB5EEB01957C602_PTGOU_TR_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15549668,Menez Paul,,1,,A_1_A0056_10D82B857BFA8534EFB5EEB01957C602_PTGOU_TR_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541035,Porte Guipavas,,0,,A_0_A0040_B89580F4C35D0F5C160D283936B9434A_JJAUR_TA_PTGUI_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541036,Porte Guipavas,,0,,A_0_A0040_B89580F4C35D0F5C160D283936B9434A_JJAUR_TA_PTGUI_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541037,Porte Guipavas,,0,,A_0_A0040_B89580F4C35D0F5C160D283936B9434A_JJAUR_TA_PTGUI_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541038,Porte Guipavas,,0,,A_0_A0040_B89580F4C35D0F5C160D283936B9434A_JJAUR_TA_PTGUI_TA_11,1,0
