stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
KEROU_2,,Kerouriat,,48.427696,-4.551781,,,0,,,1,,
KEROU_1,,Kerouriat,,48.4281,-4.551981,,,0,,,1,,
CHAT_TR,,Château,,48.38541,-4.492643,,,0,,,1,,
CHAT_TA,,Château,,48.385372,-4.492582,,,0,,,1,,
HARTEL_2,,Harteloire,,48.392864,-4.490991,,,0,,,1,,
DAURAT_2,,Daurat,,48.4253,-4.553549,,,0,,,1,,
PTPLZ_TR,,Porte de Plouzané,,48.376225,-4.553691,,,0,,,1,,
ALFOST_2,,Alfost,,48.37137,-4.517634,,,0,,,0,,
PTPLZ_TA,,Porte de Plouzané,,48.37618,-4.55365,,,0,,,1,,
PAF_2,,Poul Ar Feunteun,,48.42417,-4.485897,,,0,,,1,,
MESDOU_6,,Porte de Mesdoun,,48.373444,-4.523338,,,0,,,0,,
KGLEUZ_3,,Kermengleuz,,48.424675,-4.564861,,,0,,,1,,
SAUPIN_1,,Anse Saupin,,48.400894,-4.515431,,,0,,,1,,
PENNOC_1,,Croas ar Pennoc,,48.425724,-4.55067,,,0,,,1,,
KGLEUZ_4,,Kermengleuz,,48.42455,-4.564776,,,0,,,1,,
GRECO_2,,Le Greco,,48.395515,-4.526367,,,0,,,1,,
KERZES_1,,Kerzespez,,48.432796,-4.55979,,,0,,,1,,
SAUPIN_2,,Anse Saupin,,48.4007,-4.515968,,,0,,,1,,
PENNOC_2,,Croas ar Pennoc,,48.425728,-4.550832,,,0,,,1,,
ALFOST_1,,Alfost,,48.37133,-4.517712,,,0,,,0,,
POLYG_TA,,Polygone,,48.38716,-4.5188,,,0,,,1,,
ELECT_1,,A11 - DCNS,,48.377663,-4.507741,,,0,,,0,,
PLSTR_TA,,Place de Strasbourg,,48.40199,-4.468046,,,0,,,1,,
ELECT_2,,A11 - DCNS,,48.377663,-4.507624,,,0,,,0,,
PLSTR_TR,,Place de Strasbourg,,48.402027,-4.468103,,,0,,,1,,
BORDE_1,,Bordenave,,48.39286,-4.502088,,,0,,,0,,
